tagId,timestamp,dateTime,loc(x),loc(y),loc(z),yaw,roll,pitch,acc(x),acc(y),acc(z),gyro,magnetic,label
26660,1650208671.087,"17:17:51,087000",3097,5739,1319,5.782,-0.017,-0.06,-67,15,1265,"{'x': 2.1875, 'y': -26.9375, 'z': 12.625}","{'x': 3.5, 'y': 18.25, 'z': -42.0625}",4
26651,1650208671.179,"17:17:51,179000",3086,4996,899,5.885,0.068,-0.002,66,2,956,"{'x': 0.0625, 'y': -0.25, 'z': -0.0625}","{'x': 5.5625, 'y': 22.75, 'z': -43.5625}",4
26660,1650208671.239,"17:17:51,239000",3078,5758,1339,5.694,0.002,-0.079,-159,-69,925,"{'x': 11.0625, 'y': 11.125, 'z': 35.75}","{'x': 3.1875, 'y': 17.75, 'z': -43.875}",4
26651,1650208671.321,"17:17:51,321000",3092,4995,901,5.885,0.068,-0.002,65,1,955,"{'x': 0.0625, 'y': -0.125, 'z': 0.125}","{'x': 5.5625, 'y': 22.375, 'z': -44.375}",4
26660,1650208671.402,"17:17:51,402000",3079,5779,1341,5.534,-0.036,-0.121,-79,39,749,"{'x': -13.875, 'y': 38.3125, 'z': 98.875}","{'x': 6.5, 'y': 15.1875, 'z': -44.25}",4
26651,1650208671.483,"17:17:51,483000",3091,4994,907,5.885,0.068,-0.002,68,2,957,"{'x': 0.1875, 'y': -0.1875, 'z': 0.125}","{'x': 6, 'y': 23.1875, 'z': -44.875}",4
26660,1650208671.572,"17:17:51,572000",3064,5810,1344,5.305,-0.046,-0.155,-30,135,756,"{'x': 23.75, 'y': 4.875, 'z': 80}","{'x': 11, 'y': 13.6875, 'z': -43.375}",4
26651,1650208671.648,"17:17:51,648000",3084,4995,915,5.885,0.068,-0.002,66,5,957,"{'x': -0.1875, 'y': 0, 'z': 0.1875}","{'x': 6, 'y': 22.375, 'z': -43.0625}",4
26651,1650208671.845,"17:17:51,845000",3084,4994,914,5.885,0.068,-0.002,67,2,958,"{'x': -0.0625, 'y': -0.0625, 'z': -0.0625}","{'x': 6, 'y': 23.1875, 'z': -44.875}",4
26660,1650208671.926,"17:17:51,926000",3054,5863,1329,4.842,-0.016,-0.158,67,239,836,"{'x': 2.6875, 'y': 1.25, 'z': 47.9375}","{'x': 16.875, 'y': 4.25, 'z': -42.1875}",4
26651,1650208672.014,"17:17:52,014000",3089,4994,923,5.885,0.068,-0.002,67,2,953,"{'x': 0.25, 'y': -0.125, 'z': 0}","{'x': 5.1875, 'y': 22.0625, 'z': -43.5625}",4
