tagId,timestamp,dateTime,loc(x),loc(y),loc(z),yaw,roll,pitch,acc(x),acc(y),acc(z),gyro,magnetic,label
26660,1650204725.182,"16:12:05,182000",3086,5767,1218,5.848,-0.029,-0.017,-32,39,1174,"{'x': 8.9375, 'y': -9.8125, 'z': -11.375}","{'x': 2.75, 'y': 18.75, 'z': -45.0625}",3
26651,1650204725.263,"16:12:05,263000",3059,4954,783,5.949,0.07,-0.005,69,5,957,"{'x': -0.0625, 'y': 0, 'z': 0.125}","{'x': 4.375, 'y': 23.1875, 'z': -45.1875}",3
26651,1650204725.43,"16:12:05,430000",3053,4955,805,5.949,0.07,-0.005,69,3,958,"{'x': -0.1875, 'y': -0.0625, 'z': -0.1875}","{'x': 4.375, 'y': 22.75, 'z': -45.1875}",3
26660,1650204725.5,"16:12:05,500000",3117,5776,1194,5.822,-0.027,-0.031,0,16,1045,"{'x': 14.875, 'y': 17.75, 'z': 5.875}","{'x': 1.25, 'y': 18.0625, 'z': -45.0625}",3
26651,1650204725.58,"16:12:05,580000",3051,4956,804,5.949,0.07,-0.005,68,7,958,"{'x': 0.125, 'y': 0, 'z': 0}","{'x': 4.75, 'y': 23.1875, 'z': -45.5625}",3
26651,1650204725.781,"16:12:05,781000",3051,4957,814,5.949,0.07,-0.005,69,5,959,"{'x': 0.125, 'y': -0.0625, 'z': -0.0625}","{'x': 4.375, 'y': 22.75, 'z': -44.75}",3
26660,1650204725.849,"16:12:05,849000",3112,5785,1203,5.79,0.001,-0.068,79,101,727,"{'x': 14.8125, 'y': -11.8125, 'z': 5.4375}","{'x': 1.6875, 'y': 16.5625, 'z': -46.75}",3
26651,1650204725.934,"16:12:05,934000",3048,4957,825,5.949,0.07,-0.005,70,5,957,"{'x': 0.0625, 'y': 0, 'z': 0}","{'x': 4.75, 'y': 22.375, 'z': -44.75}",3
26660,1650204726.001,"16:12:06,001000",3095,5793,1217,5.768,0.021,-0.093,52,137,907,"{'x': -2.0625, 'y': -12.5625, 'z': 7.4375}","{'x': 2, 'y': 14.6875, 'z': -46.75}",3
26651,1650204726.092,"16:12:06,092000",3050,4957,824,5.949,0.07,-0.005,68,4,955,"{'x': -0.0625, 'y': -0.0625, 'z': 0}","{'x': 4.375, 'y': 23.1875, 'z': -46.5}",3
26660,1650204726.162,"16:12:06,162000",3084,5804,1234,5.745,0.033,-0.115,43,220,913,"{'x': 8.25, 'y': 4.25, 'z': 8.875}","{'x': 0.5, 'y': 14.25, 'z': -47.1875}",3
26651,1650204726.243,"16:12:06,243000",3053,4959,820,5.949,0.07,-0.005,68,6,959,"{'x': -0.4375, 'y': 0.1875, 'z': -0.125}","{'x': 4.375, 'y': 22.75, 'z': -45.5625}",3
26660,1650204726.318,"16:12:06,318000",3056,5820,1281,5.734,0.027,-0.12,26,210,928,"{'x': 2.5625, 'y': -1.5625, 'z': -2.125}","{'x': 2, 'y': 13.1875, 'z': -47.5625}",3
26651,1650204726.404,"16:12:06,404000",3048,4956,799,5.949,0.07,-0.005,69,7,959,"{'x': -0.0625, 'y': 0.0625, 'z': 0.0625}","{'x': 4.75, 'y': 22.375, 'z': -46.0625}",3
26651,1650204726.552,"16:12:06,552000",3049,4956,801,5.949,0.07,-0.005,71,5,957,"{'x': 0, 'y': -0.125, 'z': -0.0625}","{'x': 4.75, 'y': 22.0625, 'z': -45.5625}",3
26660,1650204726.635,"16:12:06,635000",3059,5849,1301,5.764,0.02,-0.121,-35,63,1068,"{'x': 5.875, 'y': 14.4375, 'z': -9.375}","{'x': 1.6875, 'y': 13.5625, 'z': -47.5625}",3
26651,1650204726.718,"16:12:06,718000",3043,4955,796,5.949,0.07,-0.005,69,4,958,"{'x': 0, 'y': 0, 'z': -0.1875}","{'x': 4.375, 'y': 22.0625, 'z': -45.1875}",3
26660,1650204726.788,"16:12:06,788000",3069,5858,1306,5.739,0.041,-0.111,2,54,940,"{'x': 15.5625, 'y': 8.6875, 'z': 21.5}","{'x': 0.5, 'y': 15.0625, 'z': -48.375}",3
26651,1650204726.871,"16:12:06,871000",3042,4956,797,5.949,0.07,-0.005,68,4,958,"{'x': -0.0625, 'y': 0.1875, 'z': 0}","{'x': 4.75, 'y': 22.0625, 'z': -46.0625}",3
26660,1650204726.934,"16:12:06,934000",3074,5866,1314,5.709,0.011,-0.125,-41,135,917,"{'x': 1.3125, 'y': 2.5625, 'z': 7.875}","{'x': 1.6875, 'y': 13.5625, 'z': -49.25}",3
26651,1650204727.007,"16:12:07,007000",3046,4955,799,5.949,0.07,-0.005,69,3,956,"{'x': -0.25, 'y': 0.0625, 'z': 0}","{'x': 4.75, 'y': 22.75, 'z': -46.0625}",3
26660,1650204727.087,"16:12:07,087000",3077,5882,1352,5.663,0.026,-0.117,-16,233,967,"{'x': 3.9375, 'y': -6.8125, 'z': 11.5}","{'x': 3.5, 'y': 13.5625, 'z': -47.5625}",3
26651,1650204727.169,"16:12:07,169000",3047,4958,821,5.949,0.07,-0.005,70,6,957,"{'x': 0.1875, 'y': -0.125, 'z': 0}","{'x': 5.1875, 'y': 22.375, 'z': -45.1875}",3
26660,1650204727.248,"16:12:07,248000",3091,5900,1354,5.641,0.041,-0.133,23,223,928,"{'x': 1.875, 'y': -0.4375, 'z': 13.1875}","{'x': 3.1875, 'y': 13.1875, 'z': -48}",3
26651,1650204727.33,"16:12:07,330000",3040,4961,835,5.949,0.07,-0.005,70,4,959,"{'x': -0.0625, 'y': -0.1875, 'z': 0}","{'x': 4.375, 'y': 22.0625, 'z': -46.875}",3
26651,1650204727.503,"16:12:07,503000",3047,4959,818,5.949,0.07,-0.005,69,3,961,"{'x': -0.125, 'y': -0.125, 'z': 0.25}","{'x': 5.1875, 'y': 22.75, 'z': -46.0625}",3
26651,1650204727.676,"16:12:07,676000",3052,4958,803,5.949,0.07,-0.005,69,4,960,"{'x': -0.1875, 'y': 0.1875, 'z': 0}","{'x': 5.5625, 'y': 22.375, 'z': -44.75}",3
26660,1650204727.757,"16:12:07,757000",3122,5933,1366,5.358,0.075,-0.095,58,122,972,"{'x': -5.625, 'y': 2.3125, 'z': 70.6875}","{'x': 5.75, 'y': 12.0625, 'z': -48}",3
26651,1650204727.85,"16:12:07,850000",3053,4958,798,5.949,0.07,-0.005,70,6,956,"{'x': 0, 'y': -0.1875, 'z': 0.0625}","{'x': 4.75, 'y': 23.1875, 'z': -46.0625}",3
26660,1650204727.918,"16:12:07,918000",3165,5974,1376,5.204,0.077,-0.094,75,146,997,"{'x': 9, 'y': 7.9375, 'z': 54.5}","{'x': 7.25, 'y': 12.75, 'z': -48.875}",3
26651,1650204727.993,"16:12:07,993000",3052,4959,794,5.949,0.07,-0.005,68,5,958,"{'x': 0.1875, 'y': -0.0625, 'z': -0.125}","{'x': 5.1875, 'y': 22.75, 'z': -45.1875}",3
26651,1650204728.188,"16:12:08,188000",3050,4961,783,5.949,0.07,-0.005,67,3,959,"{'x': -0.4375, 'y': 0, 'z': 0}","{'x': 5.1875, 'y': 22.0625, 'z': -45.1875}",3
26651,1650204729.297,"16:12:09,297000",3051,4962,799,5.949,0.07,-0.005,68,7,956,"{'x': -0.1875, 'y': -0.125, 'z': -0.0625}","{'x': 4.375, 'y': 23.1875, 'z': -45.1875}",3
26660,1650204729.369,"16:12:09,369000",3218,6130,1345,3.987,0.072,-0.121,-56,108,1093,"{'x': -19, 'y': 7.875, 'z': 72.875}","{'x': 16.375, 'y': -10.25, 'z': -46.75}",3
26651,1650204729.449,"16:12:09,449000",3049,4963,801,5.949,0.07,-0.005,70,4,956,"{'x': -0.125, 'y': 0.0625, 'z': 0.0625}","{'x': 4.75, 'y': 23.1875, 'z': -45.5625}",3
26660,1650204729.51,"16:12:09,510000",3266,6239,1316,3.762,0.085,-0.092,-71,96,1015,"{'x': 5.1875, 'y': -31.0625, 'z': 89.3125}","{'x': 15.25, 'y': -13.25, 'z': -45.0625}",3
26651,1650204729.603,"16:12:09,603000",3051,4965,814,5.949,0.07,-0.005,69,5,955,"{'x': -0.25, 'y': 0.1875, 'z': 0.125}","{'x': 5.1875, 'y': 22.375, 'z': -45.1875}",3
26651,1650204729.799,"16:12:09,799000",3052,4966,818,5.949,0.07,-0.005,69,3,955,"{'x': 0.0625, 'y': -0.1875, 'z': 0}","{'x': 4.75, 'y': 22.375, 'z': -45.1875}",3
26660,1650204729.869,"16:12:09,869000",3335,6470,1275,3.404,0.081,-0.112,99,199,996,"{'x': 10.5625, 'y': -6.6875, 'z': 37.5}","{'x': 9, 'y': -20.25, 'z': -45.5}",3
26651,1650204729.95,"16:12:09,950000",3052,4965,811,5.949,0.07,-0.005,69,2,957,"{'x': 0.25, 'y': -0.125, 'z': 0.0625}","{'x': 4, 'y': 22.0625, 'z': -45.5625}",3
26660,1650204730.014,"16:12:10,014000",3353,6589,1276,3.317,0.081,-0.13,15,92,1098,"{'x': -15.9375, 'y': 3.6875, 'z': 37.9375}","{'x': 8.1875, 'y': -21.875, 'z': -45.5}",3
